Area,Measure,ANZSIC06,Year,Value,Flags
"Matamata-Piako District","Geographic Units","Total Industry","2005",5205,
"Waikato District","Employee Count","Total Industry","2005",13600,
"Waikato District","Employee Count","Total Industry","2006",13800,
"Matamata-Piako District","Geographic Units","Total Industry","2006",5286,
"Matamata-Piako District","Employee Count","Total Industry","2006",12400,
"Hamilton City","Employee Count","Total Industry","2006",76000,
"Hamilton City","Geographic Units","Total Industry","2006",12771,
"Waipa District","Geographic Units","Total Industry","2006",6534,
"Waipa District","Employee Count","Total Industry","2006",14400,
"Otorohanga District","Employee Count","Total Industry","2006",3450,
"Otorohanga District","Geographic Units","Total Industry","2006",1911,
"South Waikato District","Geographic Units","Total Industry","2006",2349,
"South Waikato District","Employee Count","Total Industry","2006",8500,
"Waitomo District","Employee Count","Total Industry","2006",4700,
"Waitomo District","Geographic Units","Total Industry","2006",1674,
"Taupo District","Geographic Units","Total Industry","2006",4428,
"Taupo District","Employee Count","Total Industry","2006",14400,
"Taupo District","Employee Count","Total Industry","2007",14900,
"Taupo District","Geographic Units","Total Industry","2007",4548,
"Waitomo District","Geographic Units","Total Industry","2007",1692,
"Waitomo District","Employee Count","Total Industry","2007",4650,
"South Waikato District","Employee Count","Total Industry","2007",8200,
"South Waikato District","Geographic Units","Total Industry","2007",2403,
"Otorohanga District","Geographic Units","Total Industry","2007",1920,
"Otorohanga District","Employee Count","Total Industry","2007",3500,
"Waipa District","Employee Count","Total Industry","2007",14600,
"Waipa District","Geographic Units","Total Industry","2007",6771,
"Hamilton City","Geographic Units","Total Industry","2007",13134,
"Hamilton City","Employee Count","Total Industry","2007",79200,
"Matamata-Piako District","Employee Count","Total Industry","2007",12600,
"Matamata-Piako District","Geographic Units","Total Industry","2007",5352,
"Waikato District","Employee Count","Total Industry","2007",14000,
"Waikato District","Employee Count","Total Industry","2008",14100,
"Matamata-Piako District","Geographic Units","Total Industry","2008",5424,
"Matamata-Piako District","Employee Count","Total Industry","2008",13300,
"Hamilton City","Employee Count","Total Industry","2008",80000,
"Hamilton City","Geographic Units","Total Industry","2008",13434,
"Waipa District","Geographic Units","Total Industry","2008",6981,
"Waipa District","Employee Count","Total Industry","2008",15600,
"Otorohanga District","Employee Count","Total Industry","2008",3400,
"Otorohanga District","Geographic Units","Total Industry","2008",1929,
"South Waikato District","Geographic Units","Total Industry","2008",2397,
"South Waikato District","Employee Count","Total Industry","2008",8400,
"Waitomo District","Employee Count","Total Industry","2008",4700,
"Waitomo District","Geographic Units","Total Industry","2008",1686,
"Taupo District","Geographic Units","Total Industry","2008",4605,
"Taupo District","Employee Count","Total Industry","2008",15000,
"Taupo District","Employee Count","Total Industry","2009",14200,
"Taupo District","Geographic Units","Total Industry","2009",4605,
"Waitomo District","Geographic Units","Total Industry","2009",1662,
"Waitomo District","Employee Count","Total Industry","2009",4400,
"South Waikato District","Employee Count","Total Industry","2009",7800,
"South Waikato District","Geographic Units","Total Industry","2009",2400,
"Otorohanga District","Geographic Units","Total Industry","2009",1902,
"Otorohanga District","Employee Count","Total Industry","2009",3350,
"Waipa District","Employee Count","Total Industry","2009",15000,
"Waipa District","Geographic Units","Total Industry","2009",7035,
"Hamilton City","Geographic Units","Total Industry","2009",13509,
"Hamilton City","Employee Count","Total Industry","2009",77300,
"Matamata-Piako District","Employee Count","Total Industry","2009",13200,
"Matamata-Piako District","Geographic Units","Total Industry","2009",5466,
"Waikato District","Employee Count","Total Industry","2009",14000,
"Waikato District","Employee Count","Total Industry","2010",13300,
"Matamata-Piako District","Geographic Units","Total Industry","2010",5343,
"Matamata-Piako District","Employee Count","Total Industry","2010",12800,
"Hamilton City","Employee Count","Total Industry","2010",75300,
"Hamilton City","Geographic Units","Total Industry","2010",13272,
"Waipa District","Geographic Units","Total Industry","2010",6942,
"Waipa District","Employee Count","Total Industry","2010",15400,
"Otorohanga District","Employee Count","Total Industry","2010",3500,
"Otorohanga District","Geographic Units","Total Industry","2010",1872,
"South Waikato District","Geographic Units","Total Industry","2010",2343,
