Area,Measure,ANZSIC06,Year,Value,Flags
"Wellington City","Employee Count","L Rental, Hiring and Real Estate Services","2011",1400,
"Wellington City","Geographic Units","N Administrative and Support Services","2011",957,
"Lower Hutt City","Geographic Units","N Administrative and Support Services","2011",333,
"Lower Hutt City","Employee Count","L Rental, Hiring and Real Estate Services","2011",550,
"Lower Hutt City","Geographic Units","O Public Administration and Safety","2011",66,
"Upper Hutt City","Geographic Units","O Public Administration and Safety","2011",45,
"Upper Hutt City","Employee Count","L Rental, Hiring and Real Estate Services","2011",85,
"Upper Hutt City","Geographic Units","N Administrative and Support Services","2011",111,
"Porirua City","Geographic Units","N Administrative and Support Services","2011",138,
"Porirua City","Employee Count","L Rental, Hiring and Real Estate Services","2011",150,
"Porirua City","Geographic Units","O Public Administration and Safety","2011",39,
"Kapiti Coast District","Geographic Units","O Public Administration and Safety","2011",33,
"Kapiti Coast District","Employee Count","L Rental, Hiring and Real Estate Services","2011",220,
"Kapiti Coast District","Geographic Units","N Administrative and Support Services","2011",174,
"Horowhenua District","Geographic Units","N Administrative and Support Services","2011",57,
"Horowhenua District","Employee Count","L Rental, Hiring and Real Estate Services","2011",95,
"Horowhenua District","Geographic Units","O Public Administration and Safety","2011",30,
"Tararua District","Geographic Units","O Public Administration and Safety","2011",36,
"Tararua District","Employee Count","L Rental, Hiring and Real Estate Services","2011",65,
"Tararua District","Geographic Units","N Administrative and Support Services","2011",24,
"Palmerston North City","Geographic Units","N Administrative and Support Services","2011",189,
"Palmerston North City","Employee Count","L Rental, Hiring and Real Estate Services","2011",540,
"Palmerston North City","Geographic Units","O Public Administration and Safety","2011",75,
"Manawatu District","Geographic Units","O Public Administration and Safety","2011",30,
"Manawatu District","Employee Count","L Rental, Hiring and Real Estate Services","2011",110,
"Rangitikei District","Employee Count","L Rental, Hiring and Real Estate Services","2011",40,
"Rangitikei District","Geographic Units","O Public Administration and Safety","2011",24,
"Whanganui District","Geographic Units","O Public Administration and Safety","2011",45,
"Whanganui District","Employee Count","L Rental, Hiring and Real Estate Services","2011",120,
"Ruapehu District","Employee Count","L Rental, Hiring and Real Estate Services","2011",60,
"Ruapehu District","Geographic Units","O Public Administration and Safety","2011",27,
"South Taranaki District","Geographic Units","O Public Administration and Safety","2011",33,
"Stratford District","Geographic Units","O Public Administration and Safety","2011",15,
"New Plymouth District","Geographic Units","O Public Administration and Safety","2011",60,
"Central Hawke's Bay District","Geographic Units","O Public Administration and Safety","2011",30,
"Napier City","Geographic Units","O Public Administration and Safety","2011",69,
"Hastings District","Geographic Units","O Public Administration and Safety","2011",63,
"Wairoa District","Geographic Units","O Public Administration and Safety","2011",24,
"Gisborne District","Geographic Units","O Public Administration and Safety","2011",63,
"Opotiki District","Geographic Units","O Public Administration and Safety","2011",12,
"Kawerau District","Geographic Units","O Public Administration and Safety","2011",12,
"Whakatane District","Geographic Units","O Public Administration and Safety","2011",39,
"Rotorua District","Geographic Units","O Public Administration and Safety","2011",84,
"Tauranga City","Geographic Units","O Public Administration and Safety","2011",84,
"Western Bay of Plenty District","Geographic Units","O Public Administration and Safety","2011",24,
"Taupo District","Geographic Units","O Public Administration and Safety","2011",51,
"Waitomo District","Employee Count","M Professional, Scientific and Technical Services","2011",130,
"Waitomo District","Geographic Units","O Public Administration and Safety","2011",24,
"South Waikato District","Geographic Units","O Public Administration and Safety","2011",15,
"South Waikato District","Employee Count","M Professional, Scientific and Technical Services","2011",170,
"Otorohanga District","Employee Count","M Professional, Scientific and Technical Services","2011",170,
"Otorohanga District","Geographic Units","O Public Administration and Safety","2011",9,
"Waipa District","Geographic Units","O Public Administration and Safety","2011",24,
"Waipa District","Employee Count","M Professional, Scientific and Technical Services","2011",1100,
"Hamilton City","Employee Count","M Professional, Scientific and Technical Services","2011",7000,
"Hamilton City","Geographic Units","O Public Administration and Safety","2011",111,
"Matamata-Piako District","Geographic Units","O Public Administration and Safety","2011",30,
"Matamata-Piako District","Employee Count","M Professional, Scientific and Technical Services","2011",580,
"Waikato District","Employee Count","M Professional, Scientific and Technical Services","2011",450,
"Waikato District","Geographic Units","O Public Administration and Safety","2011",48,
"Hauraki District","Geographic Units","O Public Administration and Safety","2011",24,
"Hauraki District","Employee Count","M Professional, Scientific and Technical Services","2011",240,
"Thames-Coromandel District","Employee Count","M Professional, Scientific and Technical Services","2011",240,
"Thames-Coromandel District","Geographic Units","O Public Administration and Safety","2011",45,
"Auckland","Geographic Units","O Public Administration and Safety","2011",855,
"Auckland","Employee Count","M Professional, Scientific and Technical Services","2011",64300,
"Kaipara District","Employee Count","M Professional, Scientific and Technical Services","2011",110,
"Whangarei District","Employee Count","M Professional, Scientific and Technical Services","2011",1550,
"Whangarei District","Geographic Units","O Public Administration and Safety","2011",75,
"Whangarei District","Employee Count","O Public Administration and Safety","2011",1550,
"Far North District","Employee Count","O Public Administration and Safety","2011",870,
"Far North District","Geographic Units","O Public Administration and Safety","2011",72,
"Far North District","Employee Count","M Professional, Scientific and Technical Services","2011",520,
"Total New Zealand (Territorial Authority)","Employee Count","M Professional, Scientific and Technical Services","2011",146200,
"Total New Zealand (Territorial Authority)","Employee Count","O Public Administration and Safety","2011",108300,
"Total New Zealand (Territorial Authority)","Geographic Units","O Public Administration and Safety","2011",3891,
"Palmerston North City","Employee Count","M Professional, Scientific and Technical Services","2011",2600,
"Hurunui District","Employee Count","K Financial and Insurance Services","2011",9,
"Westland District","Employee Count","K Financial and Insurance Services","2011",25,
"Westland District","Employee Count","M Professional, Scientific and Technical Services","2011",70,
"Westland District","Geographic Units","M Professional, Scientific and Technical Services","2011",42,
"Grey District","Geographic Units","M Professional, Scientific and Technical Services","2011",78,
"Grey District","Employee Count","M Professional, Scientific and Technical Services","2011",200,
"Grey District","Employee Count","K Financial and Insurance Services","2011",70,
"Buller District","Employee Count","K Financial and Insurance Services","2011",35,
"Buller District","Employee Count","M Professional, Scientific and Technical Services","2011",200,
"Buller District","Geographic Units","M Professional, Scientific and Technical Services","2011",42,
"Kaikoura District","Geographic Units","M Professional, Scientific and Technical Services","2011",24,
"Kaikoura District","Employee Count","M Professional, Scientific and Technical Services","2011",12,
"Kaikoura District","Employee Count","K Financial and Insurance Services","2011",18,
"Marlborough District","Employee Count","K Financial and Insurance Services","2011",220,
"Marlborough District","Employee Count","M Professional, Scientific and Technical Services","2011",630,
"Marlborough District","Geographic Units","M Professional, Scientific and Technical Services","2011",327,
"Nelson City","Geographic Units","M Professional, Scientific and Technical Services","2011",621,
"Nelson City","Employee Count","M Professional, Scientific and Technical Services","2011",1450,
"Nelson City","Employee Count","K Financial and Insurance Services","2011",400,
"Tasman District","Employee Count","K Financial and Insurance Services","2011",180,
"Tasman District","Employee Count","M Professional, Scientific and Technical Services","2011",810,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2012",69,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2012",200,
"Hamilton City","Employee Count","K Financial and Insurance Services","2012",1600,
"Hamilton City","Geographic Units","N Administrative and Support Services","2012",534,
"Waipa District","Geographic Units","N Administrative and Support Services","2012",132,
"Waipa District","Employee Count","K Financial and Insurance Services","2012",220,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2012",35,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2012",21,
"South Waikato District","Geographic Units","N Administrative and Support Services","2012",33,
"South Waikato District","Employee Count","K Financial and Insurance Services","2012",80,
"Waitomo District","Employee Count","K Financial and Insurance Services","2012",45,
"Waitomo District","Geographic Units","N Administrative and Support Services","2012",24,
"Taupo District","Geographic Units","N Administrative and Support Services","2012",144,
"Taupo District","Employee Count","K Financial and Insurance Services","2012",190,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2012",700,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2012",440,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2012",110,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2012",171,
"Tauranga City","Geographic Units","N Administrative and Support Services","2012",426,
"Tauranga City","Employee Count","K Financial and Insurance Services","2012",910,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2012",3200,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2012",1400,
"Rotorua District","Employee Count","K Financial and Insurance Services","2012",460,
"Rotorua District","Geographic Units","N Administrative and Support Services","2012",222,
"Whakatane District","Geographic Units","N Administrative and Support Services","2012",87,
"Whakatane District","Employee Count","K Financial and Insurance Services","2012",180,
"Whakatane District","Employee Count","M Professional, Scientific and Technical Services","2012",410,
"Kawerau District","Employee Count","M Professional, Scientific and Technical Services","2012",21,
"Kawerau District","Employee Count","K Financial and Insurance Services","2012",40,
"Kawerau District","Geographic Units","N Administrative and Support Services","2012",9,
"Opotiki District","Geographic Units","N Administrative and Support Services","2012",18,
"Opotiki District","Employee Count","K Financial and Insurance Services","2012",30,
"Opotiki District","Employee Count","M Professional, Scientific and Technical Services","2012",50,
"Gisborne District","Employee Count","M Professional, Scientific and Technical Services","2012",850,
"Gisborne District","Employee Count","K Financial and Insurance Services","2012",220,
"Gisborne District","Geographic Units","N Administrative and Support Services","2012",105,
"Wairoa District","Geographic Units","N Administrative and Support Services","2012",9,
"Wairoa District","Employee Count","K Financial and Insurance Services","2012",30,
"Wairoa District","Employee Count","M Professional, Scientific and Technical Services","2012",55,
"Hastings District","Employee Count","M Professional, Scientific and Technical Services","2012",1650,
"Hastings District","Employee Count","K Financial and Insurance Services","2012",570,
"Hastings District","Geographic Units","N Administrative and Support Services","2012",231,
"Napier City","Geographic Units","N Administrative and Support Services","2012",201,
"Napier City","Employee Count","K Financial and Insurance Services","2012",470,
"Napier City","Employee Count","M Professional, Scientific and Technical Services","2012",1200,
"Central Hawke's Bay District","Employee Count","M Professional, Scientific and Technical Services","2012",130,
"Central Hawke's Bay District","Employee Count","K Financial and Insurance Services","2012",50,
"Central Hawke's Bay District","Geographic Units","M Professional, Scientific and Technical Services","2012",63,
"Central Hawke's Bay District","Geographic Units","N Administrative and Support Services","2012",33,
"New Plymouth District","Geographic Units","N Administrative and Support Services","2012",213,
"New Plymouth District","Geographic Units","M Professional, Scientific and Technical Services","2012",660,
"New Plymouth District","Employee Count","M Professional, Scientific and Technical Services","2012",2100,
"New Plymouth District","Employee Count","K Financial and Insurance Services","2012",640,
"Stratford District","Employee Count","K Financial and Insurance Services","2012",45,
"Stratford District","Employee Count","M Professional, Scientific and Technical Services","2012",120,
"Stratford District","Geographic Units","M Professional, Scientific and Technical Services","2012",39,
"Stratford District","Geographic Units","N Administrative and Support Services","2012",15,
"South Taranaki District","Geographic Units","N Administrative and Support Services","2012",36,
"South Taranaki District","Geographic Units","M Professional, Scientific and Technical Services","2012",108,
"South Taranaki District","Employee Count","M Professional, Scientific and Technical Services","2012",320,
"South Taranaki District","Employee Count","L Rental, Hiring and Real Estate Services","2012",140,
"South Taranaki District","Employee Count","K Financial and Insurance Services","2012",120,
"Ruapehu District","Employee Count","K Financial and Insurance Services","2012",45,
"Ruapehu District","Employee Count","M Professional, Scientific and Technical Services","2012",110,
"Ruapehu District","Geographic Units","M Professional, Scientific and Technical Services","2012",51,
"Ruapehu District","Geographic Units","N Administrative and Support Services","2012",30,
"Whanganui District","Geographic Units","N Administrative and Support Services","2012",102,
"Whanganui District","Geographic Units","M Professional, Scientific and Technical Services","2012",231,
"Whanganui District","Employee Count","M Professional, Scientific and Technical Services","2012",680,
"Whanganui District","Employee Count","K Financial and Insurance Services","2012",240,
"Rangitikei District","Employee Count","K Financial and Insurance Services","2012",35,
"Rangitikei District","Employee Count","M Professional, Scientific and Technical Services","2012",120,
"Rangitikei District","Geographic Units","M Professional, Scientific and Technical Services","2012",60,
"Rangitikei District","Geographic Units","N Administrative and Support Services","2012",24,
"Manawatu District","Geographic Units","N Administrative and Support Services","2012",66,
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2012",153,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2012",310,
"Manawatu District","Employee Count","K Financial and Insurance Services","2012",80,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2012",690,
"Palmerston North City","Geographic Units","L Rental, Hiring and Real Estate Services","2012",1524,
"Palmerston North City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1545,
"Palmerston North City","Employee Count","K Financial and Insurance Services","2013",700,
"Manawatu District","Employee Count","K Financial and Insurance Services","2013",65,
"Manawatu District","Employee Count","M Professional, Scientific and Technical Services","2013",310,
"Manawatu District","Geographic Units","M Professional, Scientific and Technical Services","2013",147,
"Manawatu District","Geographic Units","N Administrative and Support Services","2013",63,
"Rangitikei District","Geographic Units","N Administrative and Support Services","2013",24,
"Rangitikei District","Geographic Units","M Professional, Scientific and Technical Services","2013",69,
"Rangitikei District","Employee Count","M Professional, Scientific and Technical Services","2013",120,
"Rangitikei District","Employee Count","K Financial and Insurance Services","2013",40,
"Whanganui District","Employee Count","K Financial and Insurance Services","2013",210,
"Whanganui District","Employee Count","M Professional, Scientific and Technical Services","2013",670,
"Whanganui District","Geographic Units","M Professional, Scientific and Technical Services","2013",231,
"Whanganui District","Geographic Units","N Administrative and Support Services","2013",105,
"Ruapehu District","Geographic Units","N Administrative and Support Services","2013",30,
"Ruapehu District","Geographic Units","M Professional, Scientific and Technical Services","2013",51,
"Ruapehu District","Employee Count","M Professional, Scientific and Technical Services","2013",160,
"Ruapehu District","Employee Count","K Financial and Insurance Services","2013",40,
"South Taranaki District","Employee Count","K Financial and Insurance Services","2013",110,
"South Taranaki District","Employee Count","L Rental, Hiring and Real Estate Services","2013",170,
"South Taranaki District","Employee Count","M Professional, Scientific and Technical Services","2013",300,
"South Taranaki District","Geographic Units","M Professional, Scientific and Technical Services","2013",105,
"South Taranaki District","Geographic Units","N Administrative and Support Services","2013",42,
"Stratford District","Geographic Units","N Administrative and Support Services","2013",15,
"Stratford District","Geographic Units","M Professional, Scientific and Technical Services","2013",42,
"Stratford District","Employee Count","M Professional, Scientific and Technical Services","2013",120,
"Stratford District","Employee Count","K Financial and Insurance Services","2013",80,
"New Plymouth District","Employee Count","K Financial and Insurance Services","2013",640,
"New Plymouth District","Employee Count","M Professional, Scientific and Technical Services","2013",2200,
"New Plymouth District","Geographic Units","M Professional, Scientific and Technical Services","2013",696,
"New Plymouth District","Geographic Units","N Administrative and Support Services","2013",222,
"Central Hawke's Bay District","Geographic Units","N Administrative and Support Services","2013",36,
"Central Hawke's Bay District","Geographic Units","M Professional, Scientific and Technical Services","2013",57,
"Central Hawke's Bay District","Employee Count","K Financial and Insurance Services","2013",40,
"Central Hawke's Bay District","Employee Count","M Professional, Scientific and Technical Services","2013",110,
"Napier City","Employee Count","M Professional, Scientific and Technical Services","2013",1250,
"Napier City","Employee Count","K Financial and Insurance Services","2013",430,
"Napier City","Geographic Units","N Administrative and Support Services","2013",186,
"Hastings District","Geographic Units","N Administrative and Support Services","2013",234,
"Hastings District","Employee Count","K Financial and Insurance Services","2013",590,
"Hastings District","Employee Count","M Professional, Scientific and Technical Services","2013",1600,
"Wairoa District","Employee Count","M Professional, Scientific and Technical Services","2013",45,
"Wairoa District","Employee Count","K Financial and Insurance Services","2013",25,
"Wairoa District","Geographic Units","N Administrative and Support Services","2013",12,
"Gisborne District","Geographic Units","N Administrative and Support Services","2013",102,
"Gisborne District","Employee Count","K Financial and Insurance Services","2013",210,
"Gisborne District","Employee Count","M Professional, Scientific and Technical Services","2013",930,
"Opotiki District","Employee Count","M Professional, Scientific and Technical Services","2013",60,
"Opotiki District","Employee Count","K Financial and Insurance Services","2013",45,
"Opotiki District","Geographic Units","N Administrative and Support Services","2013",21,
"Kawerau District","Geographic Units","N Administrative and Support Services","2013",6,
"Kawerau District","Employee Count","K Financial and Insurance Services","2013",40,
"Kawerau District","Employee Count","M Professional, Scientific and Technical Services","2013",18,
"Whakatane District","Employee Count","M Professional, Scientific and Technical Services","2013",390,
"Whakatane District","Employee Count","K Financial and Insurance Services","2013",160,
"Whakatane District","Geographic Units","N Administrative and Support Services","2013",93,
"Rotorua District","Geographic Units","N Administrative and Support Services","2013",222,
"Rotorua District","Employee Count","K Financial and Insurance Services","2013",420,
"Rotorua District","Employee Count","M Professional, Scientific and Technical Services","2013",1450,
"Tauranga City","Employee Count","M Professional, Scientific and Technical Services","2013",3250,
"Tauranga City","Employee Count","K Financial and Insurance Services","2013",910,
"Tauranga City","Geographic Units","N Administrative and Support Services","2013",453,
"Western Bay of Plenty District","Geographic Units","N Administrative and Support Services","2013",174,
"Western Bay of Plenty District","Employee Count","K Financial and Insurance Services","2013",95,
"Western Bay of Plenty District","Employee Count","M Professional, Scientific and Technical Services","2013",430,
"Taupo District","Employee Count","M Professional, Scientific and Technical Services","2013",670,
"Taupo District","Employee Count","K Financial and Insurance Services","2013",150,
"Taupo District","Geographic Units","N Administrative and Support Services","2013",159,
"Waitomo District","Geographic Units","N Administrative and Support Services","2013",24,
"Waitomo District","Employee Count","K Financial and Insurance Services","2013",35,
"South Waikato District","Employee Count","K Financial and Insurance Services","2013",55,
"South Waikato District","Geographic Units","N Administrative and Support Services","2013",36,
"Otorohanga District","Geographic Units","N Administrative and Support Services","2013",21,
"Otorohanga District","Employee Count","K Financial and Insurance Services","2013",30,
"Waipa District","Employee Count","K Financial and Insurance Services","2013",170,
"Waipa District","Geographic Units","N Administrative and Support Services","2013",153,
"Hamilton City","Geographic Units","N Administrative and Support Services","2013",537,
"Hamilton City","Employee Count","K Financial and Insurance Services","2013",1400,
"Matamata-Piako District","Employee Count","K Financial and Insurance Services","2013",200,
"Matamata-Piako District","Geographic Units","N Administrative and Support Services","2013",69,
"Waikato District","Geographic Units","N Administrative and Support Services","2013",165,
"Waikato District","Employee Count","K Financial and Insurance Services","2013",55,
"Hauraki District","Employee Count","K Financial and Insurance Services","2013",80,
"Hauraki District","Geographic Units","N Administrative and Support Services","2013",39,
"Thames-Coromandel District","Employee Count","K Financial and Insurance Services","2013",85,
"Thames-Coromandel District","Geographic Units","N Administrative and Support Services","2013",123,
"Auckland","Geographic Units","N Administrative and Support Services","2013",7218,
"Auckland","Employee Count","K Financial and Insurance Services","2013",26800,
"Kaipara District","Employee Count","K Financial and Insurance Services","2013",40,
"Kaipara District","Geographic Units","N Administrative and Support Services","2013",45,
"Whangarei District","Geographic Units","N Administrative and Support Services","2013",240,
"Whangarei District","Employee Count","K Financial and Insurance Services","2013",510,
"Far North District","Employee Count","K Financial and Insurance Services","2013",270,
"Far North District","Geographic Units","N Administrative and Support Services","2013",135,
"Total New Zealand (Territorial Authority)","Geographic Units","N Administrative and Support Services","2013",16827,
"Total New Zealand (Territorial Authority)","Employee Count","K Financial and Insurance Services","2013",54700,
"Invercargill City","Employee Count","K Financial and Insurance Services","2013",610,
"Invercargill City","Employee Count","I Transport, Postal and Warehousing","2013",1050,
"Invercargill City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",834,
"Invercargill City","Geographic Units","K Financial and Insurance Services","2013",390,
"Invercargill City","Employee Count","J Information Media and Telecommunications","2013",310,
"Gore District","Employee Count","J Information Media and Telecommunications","2013",65,
"Gore District","Geographic Units","K Financial and Insurance Services","2013",90,
"Gore District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",399,
"Gore District","Employee Count","I Transport, Postal and Warehousing","2013",270,
"Gore District","Employee Count","K Financial and Insurance Services","2013",95,
"Southland District","Employee Count","K Financial and Insurance Services","2013",35,
"Southland District","Employee Count","I Transport, Postal and Warehousing","2013",1100,
"Southland District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1431,
"Southland District","Geographic Units","K Financial and Insurance Services","2013",261,
"Southland District","Employee Count","J Information Media and Telecommunications","2013",35,
"Clutha District","Employee Count","J Information Media and Telecommunications","2013",30,
"Clutha District","Geographic Units","K Financial and Insurance Services","2013",105,
"Clutha District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",555,
"Clutha District","Employee Count","I Transport, Postal and Warehousing","2013",240,
"Clutha District","Employee Count","K Financial and Insurance Services","2013",40,
"Dunedin City","Employee Count","K Financial and Insurance Services","2013",980,
"Dunedin City","Employee Count","I Transport, Postal and Warehousing","2013",2100,
"Dunedin City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",2175,
"Dunedin City","Geographic Units","K Financial and Insurance Services","2013",771,
"Dunedin City","Employee Count","J Information Media and Telecommunications","2013",1000,
"Queenstown-Lakes District","Employee Count","J Information Media and Telecommunications","2013",200,
"Queenstown-Lakes District","Geographic Units","K Financial and Insurance Services","2013",477,
"Queenstown-Lakes District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1587,
"Queenstown-Lakes District","Employee Count","I Transport, Postal and Warehousing","2013",700,
"Queenstown-Lakes District","Employee Count","K Financial and Insurance Services","2013",280,
"Central Otago District","Employee Count","K Financial and Insurance Services","2013",85,
"Central Otago District","Employee Count","I Transport, Postal and Warehousing","2013",370,
"Central Otago District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",600,
"Central Otago District","Geographic Units","K Financial and Insurance Services","2013",156,
"Central Otago District","Employee Count","J Information Media and Telecommunications","2013",55,
"Waitaki District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",543,
"Waitaki District","Employee Count","I Transport, Postal and Warehousing","2013",190,
"Waitaki District","Employee Count","K Financial and Insurance Services","2013",75,
"Chatham Islands Territory","Employee Count","K Financial and Insurance Services","2013",3,
"Chatham Islands Territory","Employee Count","I Transport, Postal and Warehousing","2013",50,
"Chatham Islands Territory","Geographic Units","L Rental, Hiring and Real Estate Services","2013",21,
"Waimate District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",207,
"Waimate District","Employee Count","I Transport, Postal and Warehousing","2013",85,
"Mackenzie District","Employee Count","I Transport, Postal and Warehousing","2013",75,
"Mackenzie District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",162,
"Timaru District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",981,
"Timaru District","Employee Count","I Transport, Postal and Warehousing","2013",1150,
"Ashburton District","Employee Count","I Transport, Postal and Warehousing","2013",410,
"Ashburton District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",960,
"Selwyn District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1023,
"Selwyn District","Employee Count","I Transport, Postal and Warehousing","2013",440,
"Christchurch City","Employee Count","I Transport, Postal and Warehousing","2013",9100,
"Christchurch City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",7734,
"Waimakariri District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",918,
"Waimakariri District","Employee Count","I Transport, Postal and Warehousing","2013",280,
"Hurunui District","Employee Count","I Transport, Postal and Warehousing","2013",130,
"Hurunui District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",459,
"Westland District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",150,
"Westland District","Employee Count","I Transport, Postal and Warehousing","2013",130,
"Grey District","Employee Count","I Transport, Postal and Warehousing","2013",340,
"Grey District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",177,
"Buller District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",126,
"Buller District","Employee Count","I Transport, Postal and Warehousing","2013",220,
"Kaikoura District","Employee Count","I Transport, Postal and Warehousing","2013",130,
"Kaikoura District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",126,
"Marlborough District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1278,
"Marlborough District","Employee Count","I Transport, Postal and Warehousing","2013",840,
"Nelson City","Employee Count","I Transport, Postal and Warehousing","2013",1050,
"Nelson City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1170,
"Tasman District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1116,
"Tasman District","Employee Count","I Transport, Postal and Warehousing","2013",780,
"South Wairarapa District","Employee Count","I Transport, Postal and Warehousing","2013",70,
"South Wairarapa District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",297,
"Carterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",213,
"Carterton District","Employee Count","I Transport, Postal and Warehousing","2013",85,
"Masterton District","Employee Count","I Transport, Postal and Warehousing","2013",250,
"Masterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",588,
"Wellington City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",4941,
"Lower Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",1866,
"Upper Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",492,
"Porirua City","Geographic Units","L Rental, Hiring and Real Estate Services","2013",672,
"Kapiti Coast District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",909,
"Horowhenua District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",528,
"Tararua District","Geographic Units","L Rental, Hiring and Real Estate Services","2013",648,
"Tararua District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",660,
"Horowhenua District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",540,
"Kapiti Coast District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",942,
"Porirua City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",726,
"Upper Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",519,
"Lower Hutt City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1944,
"Wellington City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",5175,
"Masterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",603,
"Masterton District","Employee Count","I Transport, Postal and Warehousing","2014",260,
"Carterton District","Employee Count","I Transport, Postal and Warehousing","2014",100,
"Carterton District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",216,
"South Wairarapa District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",318,
"South Wairarapa District","Employee Count","I Transport, Postal and Warehousing","2014",55,
"Tasman District","Employee Count","I Transport, Postal and Warehousing","2014",820,
"Tasman District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1170,
"Nelson City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1278,
"Nelson City","Employee Count","I Transport, Postal and Warehousing","2014",1100,
"Marlborough District","Employee Count","I Transport, Postal and Warehousing","2014",840,
"Marlborough District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1305,
"Kaikoura District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",117,
"Kaikoura District","Employee Count","I Transport, Postal and Warehousing","2014",140,
"Buller District","Employee Count","I Transport, Postal and Warehousing","2014",210,
"Buller District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",135,
"Grey District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",189,
"Grey District","Employee Count","I Transport, Postal and Warehousing","2014",350,
"Westland District","Employee Count","I Transport, Postal and Warehousing","2014",140,
"Westland District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",150,
"Hurunui District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",486,
"Hurunui District","Employee Count","I Transport, Postal and Warehousing","2014",120,
"Waimakariri District","Employee Count","I Transport, Postal and Warehousing","2014",310,
"Waimakariri District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1008,
"Christchurch City","Geographic Units","L Rental, Hiring and Real Estate Services","2014",8250,
"Christchurch City","Employee Count","I Transport, Postal and Warehousing","2014",9800,
"Selwyn District","Employee Count","I Transport, Postal and Warehousing","2014",470,
"Selwyn District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1119,
"Ashburton District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1017,
"Ashburton District","Employee Count","I Transport, Postal and Warehousing","2014",410,
"Timaru District","Employee Count","I Transport, Postal and Warehousing","2014",1200,
"Timaru District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",1014,
"Mackenzie District","Geographic Units","L Rental, Hiring and Real Estate Services","2014",177,
"Mackenzie District","Employee Count","I Transport, Postal and Warehousing","2014",65,
